Subset of Points	Shortest Path Predicted\shortest path predicted distance	Shortest Path Actual	actual shortest path distance	Predicted=Actual
[]	[0, 0]	0.0	[0, 0]	0.0	True
[1]	[0, 1, 0]	105.62	[0, 1, 0]	105.62	True
[2]	[0, 2, 0]	153.39	[0, 2, 0]	153.39	True
[3]	[0, 3, 0]	86.83	[0, 3, 0]	86.83	True
[4]	[0, 4, 0]	52.5	[0, 4, 0]	52.5	True
[5]	[0, 5, 0]	71.81	[0, 5, 0]	71.81	True
[6]	[0, 6, 0]	153.31	[0, 6, 0]	153.31	True
[7]	[0, 7, 0]	102.08	[0, 7, 0]	102.08	True
[8]	[0, 8, 0]	198.6	[0, 8, 0]	198.6	True
[9]	[0, 9, 0]	165.75	[0, 9, 0]	165.75	True
[1, 2]	[0, 2, 1, 0]	162.75	[0, 1, 2, 0]	162.75	True
[1, 3]	[0, 3, 1, 0]	124.83	[0, 1, 3, 0]	124.83	True
[1, 4]	[0, 4, 1, 0]	112.2	[0, 4, 1, 0]	112.2	True
[1, 5]	[0, 5, 1, 0]	106.21	[0, 1, 5, 0]	106.21	True
[1, 6]	[0, 6, 1, 0]	153.65	[0, 1, 6, 0]	153.65	True
[1, 7]	[0, 7, 1, 0]	118.88	[0, 1, 7, 0]	118.88	True
[1, 8]	[0, 8, 1, 0]	217.38	[0, 1, 8, 0]	217.38	True
[1, 9]	[0, 9, 1, 0]	200.53	[0, 1, 9, 0]	200.53	True
[2, 3]	[0, 3, 2, 0]	155.45	[0, 2, 3, 0]	155.45	True
[2, 4]	[0, 4, 2, 0]	153.98	[0, 2, 4, 0]	153.98	True
[2, 5]	[0, 5, 2, 0]	160.1	[0, 5, 2, 0]	160.1	True
[2, 6]	[0, 6, 2, 0]	186.0	[0, 2, 6, 0]	186.0	True
[2, 7]	[0, 7, 2, 0]	175.41	[0, 2, 7, 0]	175.41	True
[2, 8]	[0, 8, 2, 0]	209.13	[0, 2, 8, 0]	209.13	True
[2, 9]	[0, 9, 2, 0]	202.02	[0, 2, 9, 0]	202.02	True
[3, 4]	[0, 4, 3, 0]	86.87	[0, 3, 4, 0]	86.87	True
[3, 5]	[0, 5, 3, 0]	106.52	[0, 3, 5, 0]	106.52	True
[3, 6]	[0, 6, 3, 0]	169.11	[0, 3, 6, 0]	169.11	True
[3, 7]	[0, 7, 3, 0]	134.46	[0, 3, 7, 0]	134.46	True
[3, 8]	[0, 8, 3, 0]	198.79	[0, 3, 8, 0]	198.79	True
[3, 9]	[0, 9, 3, 0]	170.3	[0, 3, 9, 0]	170.3	True
[4, 5]	[0, 5, 4, 0]	83.78	[0, 4, 5, 0]	83.78	True
[4, 6]	[0, 6, 4, 0]	159.9	[0, 6, 4, 0]	159.9	True
[4, 7]	[0, 7, 4, 0]	115.76	[0, 7, 4, 0]	115.76	True
[4, 8]	[0, 8, 4, 0]	198.79	[0, 8, 4, 0]	198.79	True
[4, 9]	[0, 9, 4, 0]	168.16	[0, 4, 9, 0]	168.16	True
[5, 6]	[0, 6, 5, 0]	153.36	[0, 5, 6, 0]	153.36	True
[5, 7]	[0, 7, 5, 0]	104.03	[0, 5, 7, 0]	104.03	True
[5, 8]	[0, 8, 5, 0]	212.12	[0, 5, 8, 0]	212.12	True
[5, 9]	[0, 9, 5, 0]	189.13	[0, 5, 9, 0]	189.13	True
[6, 7]	[0, 7, 6, 0]	156.9	[0, 6, 7, 0]	156.9	True
[6, 8]	[0, 8, 6, 0]	240.51	[0, 6, 8, 0]	240.51	True
[6, 9]	[0, 9, 6, 0]	233.56	[0, 6, 9, 0]	233.56	True
[7, 8]	[0, 8, 7, 0]	230.49	[0, 7, 8, 0]	230.49	True
[7, 9]	[0, 9, 7, 0]	213.32	[0, 7, 9, 0]	213.32	True
[8, 9]	[0, 9, 8, 0]	210.46	[0, 8, 9, 0]	210.46	True
[1, 2, 3]	[0, 3, 2, 1, 0]	164.81	[0, 1, 2, 3, 0]	164.81	True
[1, 2, 4]	[0, 4, 2, 1, 0]	163.34	[0, 1, 2, 4, 0]	163.34	True
[1, 2, 5]	[0, 2, 1, 5, 0]	163.33	[0, 2, 1, 5, 0]	163.33	True
[1, 2, 6]	[0, 2, 6, 1, 0]	186.34	[0, 1, 6, 2, 0]	186.34	True
[1, 2, 7]	[0, 2, 1, 7, 0]	176.01	[0, 2, 1, 7, 0]	176.01	True
[1, 2, 8]	[0, 8, 2, 1, 0]	218.49	[0, 1, 2, 8, 0]	218.49	True
[1, 2, 9]	[0, 9, 2, 1, 0]	211.38	[0, 1, 2, 9, 0]	211.38	True
[1, 3, 4]	[0, 4, 3, 1, 0]	124.87	[0, 4, 3, 1, 0]	124.87	True
[1, 3, 5]	[0, 3, 1, 5, 0]	125.41	[0, 3, 1, 5, 0]	125.41	True
[1, 3, 6]	[0, 3, 6, 1, 0]	169.46	[0, 1, 6, 3, 0]	169.46	True
[1, 3, 7]	[0, 3, 1, 7, 0]	138.09	[0, 3, 1, 7, 0]	138.09	True
[1, 3, 8]	[0, 3, 8, 1, 0]	217.58	[0, 1, 8, 3, 0]	217.58	True
[1, 3, 9]	[0, 3, 9, 1, 0]	205.08	[0, 3, 9, 1, 0]	205.08	True
[1, 4, 5]	[0, 4, 1, 5, 0]	112.78	[0, 5, 1, 4, 0]	112.78	True
[1, 4, 6]	[0, 4, 1, 6, 0]	160.23	[0, 6, 1, 4, 0]	160.23	True
[1, 4, 7]	[0, 4, 1, 7, 0]	125.46	[0, 4, 1, 7, 0]	125.46	True
[1, 4, 8]	[0, 4, 8, 1, 0]	217.58	[0, 1, 8, 4, 0]	217.58	True
[1, 4, 9]	[0, 4, 9, 1, 0]	202.94	[0, 1, 9, 4, 0]	202.94	True
[1, 5, 6]	[0, 5, 6, 1, 0]	153.7	[0, 1, 6, 5, 0]	153.7	True
[1, 5, 7]	[0, 5, 1, 7, 0]	119.47	[0, 5, 1, 7, 0]	119.47	True
[1, 5, 8]	[0, 5, 1, 8, 0]	217.97	[0, 5, 1, 8, 0]	217.97	True
[1, 5, 9]	[0, 5, 1, 9, 0]	201.11	[0, 5, 1, 9, 0]	201.11	True
[1, 6, 7]	[0, 7, 6, 1, 0]	157.24	[0, 1, 6, 7, 0]	157.24	True
[1, 6, 8]	[0, 8, 6, 1, 0]	240.86	[0, 1, 6, 8, 0]	240.86	True
[1, 6, 9]	[0, 9, 6, 1, 0]	233.9	[0, 1, 6, 9, 0]	233.9	True
[1, 7, 8]	[0, 7, 1, 8, 0]	230.65	[0, 7, 1, 8, 0]	230.65	True
[1, 7, 9]	[0, 7, 1, 9, 0]	213.79	[0, 7, 1, 9, 0]	213.79	True
[1, 8, 9]	[0, 9, 8, 1, 0]	229.25	[0, 1, 8, 9, 0]	229.24	True
[2, 3, 4]	[0, 4, 3, 2, 0]	155.49	[0, 2, 3, 4, 0]	155.49	True
[2, 3, 5]	[0, 3, 2, 5, 0]	162.17	[0, 5, 2, 3, 0]	162.17	True
[2, 3, 6]	[0, 3, 2, 6, 0]	188.06	[0, 3, 2, 6, 0]	188.06	True
[2, 3, 7]	[0, 3, 2, 7, 0]	177.47	[0, 3, 2, 7, 0]	177.47	True
[2, 3, 8]	[0, 3, 8, 2, 0]	209.33	[0, 2, 8, 3, 0]	209.33	True
[2, 3, 9]	[0, 3, 2, 9, 0]	204.08	[0, 3, 2, 9, 0]	204.08	True
[2, 4, 5]	[0, 4, 2, 5, 0]	160.7	[0, 4, 2, 5, 0]	160.7	True
[2, 4, 6]	[0, 4, 2, 6, 0]	186.59	[0, 6, 2, 4, 0]	186.59	True
[2, 4, 7]	[0, 4, 2, 7, 0]	176.0	[0, 4, 2, 7, 0]	176.0	True
[2, 4, 8]	[0, 4, 8, 2, 0]	209.33	[0, 2, 8, 4, 0]	209.33	True
[2, 4, 9]	[0, 4, 2, 9, 0]	202.61	[0, 4, 2, 9, 0]	202.61	True
[2, 5, 6]	[0, 5, 6, 2, 0]	186.05	[0, 5, 6, 2, 0]	186.05	True
[2, 5, 7]	[0, 5, 7, 2, 0]	177.36	[0, 5, 7, 2, 0]	177.36	True
[2, 5, 8]	[0, 5, 2, 8, 0]	215.84	[0, 5, 2, 8, 0]	215.84	True
[2, 5, 9]	[0, 5, 2, 9, 0]	208.73	[0, 5, 2, 9, 0]	208.73	True
[2, 6, 7]	[0, 7, 6, 2, 0]	189.59	[0, 2, 6, 7, 0]	189.59	True
[2, 6, 8]	[0, 6, 2, 8, 0]	241.74	[0, 6, 2, 8, 0]	241.74	True
[2, 6, 9]	[0, 6, 2, 9, 0]	234.63	[0, 6, 2, 9, 0]	234.63	True
[2, 7, 8]	[0, 7, 2, 8, 0]	231.15	[0, 7, 2, 8, 0]	231.15	True
[2, 7, 9]	[0, 7, 2, 9, 0]	224.04	[0, 9, 2, 7, 0]	224.04	True
[2, 8, 9]	[0, 9, 8, 2, 0]	220.99	[0, 2, 8, 9, 0]	220.99	True
[3, 4, 5]	[0, 4, 3, 5, 0]	106.56	[0, 4, 3, 5, 0]	106.56	True
[3, 4, 6]	[0, 4, 3, 6, 0]	169.15	[0, 6, 3, 4, 0]	169.15	True
[3, 4, 7]	[0, 4, 3, 7, 0]	134.49	[0, 4, 3, 7, 0]	134.49	True
[3, 4, 8]	[0, 4, 3, 8, 0]	198.83	[0, 4, 3, 8, 0]	198.83	True
[3, 4, 9]	[0, 4, 3, 9, 0]	170.34	[0, 4, 3, 9, 0]	170.34	True
[3, 5, 6]	[0, 5, 6, 3, 0]	169.16	[0, 3, 6, 5, 0]	169.16	True
[3, 5, 7]	[0, 5, 7, 3, 0]	136.41	[0, 5, 7, 3, 0]	136.41	True
[3, 5, 8]	[0, 5, 8, 3, 0]	212.32	[0, 3, 8, 5, 0]	212.32	True
[3, 5, 9]	[0, 5, 3, 9, 0]	189.99	[0, 5, 3, 9, 0]	189.99	True
[3, 6, 7]	[0, 7, 6, 3, 0]	172.7	[0, 3, 6, 7, 0]	172.7	True
[3, 6, 8]	[0, 6, 8, 3, 0]	240.71	[0, 6, 8, 3, 0]	240.71	True
[3, 6, 9]	[0, 6, 9, 3, 0]	238.11	[0, 3, 9, 6, 0]	238.11	True
[3, 7, 8]	[0, 7, 8, 3, 0]	230.69	[0, 3, 8, 7, 0]	230.69	True
[3, 7, 9]	[0, 7, 9, 3, 0]	217.87	[0, 3, 9, 7, 0]	217.87	True
[3, 8, 9]	[0, 9, 8, 3, 0]	210.65	[0, 3, 8, 9, 0]	210.65	True
[4, 5, 6]	[0, 5, 6, 4, 0]	159.96	[0, 5, 6, 4, 0]	159.96	True
[4, 5, 7]	[0, 7, 5, 4, 0]	116.01	[0, 4, 5, 7, 0]	116.01	True
[4, 5, 8]	[0, 5, 8, 4, 0]	212.32	[0, 4, 8, 5, 0]	212.32	True
[4, 5, 9]	[0, 5, 9, 4, 0]	191.53	[0, 5, 9, 4, 0]	191.53	True
[4, 6, 7]	[0, 7, 6, 4, 0]	163.49	[0, 4, 6, 7, 0]	163.49	True
[4, 6, 8]	[0, 6, 8, 4, 0]	240.71	[0, 6, 8, 4, 0]	240.71	True
[4, 6, 9]	[0, 6, 9, 4, 0]	235.96	[0, 6, 9, 4, 0]	235.96	True
[4, 7, 8]	[0, 7, 8, 4, 0]	230.69	[0, 4, 8, 7, 0]	230.69	True
[4, 7, 9]	[0, 7, 9, 4, 0]	215.73	[0, 4, 9, 7, 0]	215.73	True
[4, 8, 9]	[0, 9, 8, 4, 0]	210.65	[0, 4, 8, 9, 0]	210.65	True
[5, 6, 7]	[0, 7, 6, 5, 0]	156.95	[0, 5, 6, 7, 0]	156.95	True
[5, 6, 8]	[0, 8, 6, 5, 0]	240.56	[0, 5, 6, 8, 0]	240.56	True
[5, 6, 9]	[0, 9, 6, 5, 0]	233.61	[0, 5, 6, 9, 0]	233.61	True
[5, 7, 8]	[0, 8, 7, 5, 0]	232.44	[0, 8, 7, 5, 0]	232.44	True
[5, 7, 9]	[0, 9, 7, 5, 0]	215.27	[0, 5, 7, 9, 0]	215.27	True
[5, 8, 9]	[0, 9, 8, 5, 0]	223.98	[0, 5, 8, 9, 0]	223.98	True
[6, 7, 8]	[0, 7, 6, 8, 0]	244.1	[0, 8, 6, 7, 0]	244.1	True
[6, 7, 9]	[0, 7, 6, 9, 0]	237.15	[0, 9, 6, 7, 0]	237.15	True
[6, 8, 9]	[0, 9, 8, 6, 0]	252.37	[0, 6, 8, 9, 0]	252.37	True
[7, 8, 9]	[0, 9, 8, 7, 0]	242.35	[0, 7, 8, 9, 0]	242.35	True
[1, 2, 3, 4]	[0, 4, 3, 2, 1, 0]	164.85	[0, 1, 2, 3, 4, 0]	164.85	True
[1, 2, 3, 5]	[0, 3, 2, 1, 5, 0]	165.39	[0, 3, 2, 1, 5, 0]	165.39	True
[1, 2, 3, 6]	[0, 3, 2, 6, 1, 0]	188.41	[0, 1, 6, 2, 3, 0]	188.41	True
[1, 2, 3, 7]	[0, 3, 2, 1, 7, 0]	178.07	[0, 3, 2, 1, 7, 0]	178.07	True
[1, 2, 3, 8]	[0, 3, 8, 2, 1, 0]	218.69	[0, 1, 2, 8, 3, 0]	218.69	True
[1, 2, 3, 9]	[0, 3, 9, 2, 1, 0]	215.93	[0, 1, 2, 9, 3, 0]	215.93	True
[1, 2, 4, 5]	[0, 4, 2, 1, 5, 0]	163.92	[0, 5, 1, 2, 4, 0]	163.92	True
[1, 2, 4, 6]	[0, 4, 2, 6, 1, 0]	186.94	[0, 1, 6, 2, 4, 0]	186.94	True
